Visibility,INVENTORY,TITLE,ARTIST,MATERIAL,ARTTYPE,SIZE,YEAR,ACCEPTANCE DATE,SUBCOLLECTION,PURCHASE GROUP,FUNDED BY,DONATED BY,COST,COST NOTES,INSTALL STATUS,ART STATUS,ART NOTES,PLAQUE STATUS,PLAQUE DATE,PLAQUE NOTES,STORAGE DATE,STORAGE NOTES,CONSERVATION DATE,CONSERVATION NOTES,LOCATION,FACILITY NAME,FACILITY ADDRESS,FACILITY TYPE,ART PHOTO,ART PHOTO SOURCE,PLAQUE PHOTO,latitude,longitude,,,,,,,,,,,,,,,,,,
Outside,BS0006_02,Waterfowl Theme,Joseph Mark Chavez,California Redwood Chainsaw Carving,Sculpture,Not Recorded,2009,10/19/2016,N/A,N/A,BC Open Space,N/A,"$3,200.00 ",N/A,Installed,Installed,N/A,No Plaque,N/A,N/A,N/A,N/A,N/A,"Weathered; beak is broken off duck (L. Greiner, 10/18/19).",Near Shade Strucure,Durand Open Space,4750 Isleta Blvd SW,Open Space,BS0006_02_WaterfowlTheme.jpg,Artist Website 2019,BS0006_02_WaterfowlTheme_NoPlaque.jpg,35.00195018,-106.6896192,,,,,,,,,,,,,,,,,,
Outside,BS0008,Cesar's Dream is Our Legacy,Richard Brandt & Students,Mural,Mural,Not Recorded,2009,10/19/2016,N/A,N/A,NM Youth Conservation Corps Grant,N/A,"$130,000.00 ",Grant money was for 2 murals with agricultural themes and a 1-acre corn maze.,Installed,Installed,N/A,No Plaque,N/A,N/A,N/A,N/A,N/A,N/A,North-Facing Wall at Entrance,South Valley Economic Development Center,318 Isleta Blvd SW,Non-Profit,BS0008_CesarsDreamisOurLegacy.jpg,BC GIS Technology 2016,BS0008_CesarsDreamisOurLegacy_NoPlaque.jpg,35.06551977,-106.6665982,,,,,,,,,,,,,,,,,,
Outside,BS0012,El Ritmo del Agua: The Rhythm of Water,Eric J. Garcia & Working Classroom,Acrylic Mural,Mural,84' x 5',2013,10/19/2016,N/A,N/A,BC Neighborhood Outreach Grant,N/A,"$5,000.00 ","Grant awarded to BC Yakima Neighborhood Association in May 2013. Project was a collaborative effort between Working Classroom, BC and the National Museum of Mexican Art.",Installed,Installed,Unveiled 7/1/13.,Mural Credits,2013,N/A,N/A,N/A,N/A,N/A,Northeast Wall Near Bridge Blvd,Dolores Huerta Gateway Park,100 Isleta Blvd SW,Park,BS0012_ElRitmodelAgua.jpg,Working Classroom Website 2016,BS0012_ElRitmodelAgua_Credits.jpg,35.06766786,-106.6658051,,,,,,,,,,,,,,,,,,
Outside,BS0017,The Five Keys,Faustino Villa & West Side Middle School Students,Mobile Mural,Mural,Not Recorded,2014,10/19/2016,N/A,N/A,NM Tourism Department Clean & Beautiful Grant,N/A,"$24,500.00 ",Part of the grant money was allocated to create murals such as this one to eradicate graffiti.,Installed,Installed,Unveiled 7/17/14.,Plaque,2014,N/A,N/A,N/A,N/A,N/A,East Side of Building,Paradise Hills Community Center,5901 Paradise Blvd NW,Community Center,BS0017_TheFiveKeys.jpg,BC Public Art 2016,BS0017_TheFiveKeys_Plaque.jpg,35.19498957,-106.7126965,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
